[2022-03-11T05:46:10.230Z] Validating found git in: git
[2022-03-11T05:46:10.238Z] Using git 2.35.1 from git
[2022-03-11T05:46:23.740Z] > git rev-parse --git-dir [1ms]
[2022-03-11T05:46:23.744Z] Open repository: /home/mclovin/.config
[2022-03-11T05:46:23.828Z] > git symbolic-ref --short HEAD [1ms]
[2022-03-11T05:46:23.836Z] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track) refs/heads/main refs/remotes/main [1ms]
[2022-03-11T05:46:23.848Z] > git remote --verbose [1ms]
[2022-03-11T05:46:23.848Z] > git for-each-ref --sort -committerdate --format %(refname) %(objectname) %(*objectname) [6ms]
[2022-03-11T05:46:23.868Z] > git config --get commit.template [0ms]
[2022-03-11T05:46:24.346Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [2ms]
[2022-03-11T05:47:02.300Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [1ms]
[2022-03-11T05:50:02.452Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T05:50:04.330Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [2ms]
[2022-03-11T05:55:25.292Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T05:55:56.034Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/chart-bar-demo.js [1ms]
[2022-03-11T05:56:05.554Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [1ms]
[2022-03-11T05:56:28.883Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/chart-bar-demo.js [1ms]
[2022-03-11T05:57:07.931Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [1ms]
[2022-03-11T06:33:07.811Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/chart-bar-demo.js [2ms]
[2022-03-11T06:33:14.151Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [2ms]
[2022-03-11T06:33:15.256Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [2ms]
[2022-03-11T06:39:01.696Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T06:39:12.028Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/chart-bar-demo.js [1ms]
[2022-03-11T06:39:14.690Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [2ms]
[2022-03-11T06:39:41.175Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T06:39:52.142Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [1ms]
[2022-03-11T06:40:17.644Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T06:40:19.339Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [2ms]
[2022-03-11T06:40:34.533Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T06:40:42.082Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [1ms]
[2022-03-11T06:41:49.463Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T06:41:54.750Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [2ms]
[2022-03-11T06:43:10.803Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/index.php [1ms]
[2022-03-11T06:43:39.110Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/chart-bar-demo.js [1ms]
[2022-03-11T06:43:39.914Z] > git ls-files --stage -- /home/mclovin/.config/Code - OSS/User/globalStorage/cweijan.vscode-ssh/temp/scripts.js [1ms]
